title,author,genre,price,rating,availability,upc,publication_year,ranking,popularity
A Light in the Attic,Unknown,Poetry,£51.77,Three,In stock,a897fe39b1053632,N/A,1,50
Tipping the Velvet,Unknown,Historical Fiction,£53.74,One,In stock,90fa61229261140a,N/A,2,30
Soumission,Unknown,Fiction,£50.10,One,In stock,6957f44c3847a760,N/A,3,30
Sharp Objects,Unknown,Mystery,£47.82,Four,In stock,e00eb4fd7b871a48,N/A,4,60
Sapiens: A Brief History of Humankind,Unknown,History,£54.23,Five,In stock,4165285e1663650f,N/A,5,70
The Requiem Red,Unknown,Young Adult,£22.65,One,In stock,f77dbf2323deb740,N/A,6,30
The Dirty Little Secrets of Getting Your Dream Job,Unknown,Business,£33.34,Four,In stock,2597b5a345f45e1b,N/A,7,60
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Unknown,Default,£17.93,Three,In stock,e72a5dfc7e9267b2,N/A,8,50
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Unknown,Default,£22.60,Four,In stock,e10e1e165dc8be4a,N/A,9,60
The Black Maria,Unknown,Poetry,£52.15,One,In stock,1dfe412b8ac00530,N/A,10,30
